Published Rates,,,,,,Sequestration Reduction Applied,,,,
CPT,Final National ASC Rate,Final Local ASC Rate,Local Medicare Pays,Local Patient,,CPT,Final National ASC Rate,Final Local ASC Rate,Local Medicare Pays,Local Patient
20973,2689.89,2689.89,2151.912,537.978,,20973,2646.85176,2646.85176,2108.87376,537.978
20979,28.66,28.66,22.928,5.732,,20979,28.20144,28.20144,22.46944,5.732
20982,2089.06,2089.06,1671.248,417.812,,20982,2055.63504,2055.63504,1637.82304,417.812
21010,1969.21,1969.21,1575.368,393.842,,21010,1937.70264,1937.70264,1543.86064,393.842
21011,226.4,226.4,181.12,45.28,,21011,222.7776,222.7776,177.4976,45.28
21012,354.05,354.05,283.24,70.81,,21012,348.3852,348.3852,277.5752,70.81
21013,299.12,299.12,239.296,59.824,,21013,294.33408,294.33408,234.51008,59.824
21014,354.05,354.05,283.24,70.81,,21014,348.3852,348.3852,277.5752,70.81
21015,633.26,633.26,506.608,126.652,,21015,623.12784,623.12784,496.47584,126.652
21016,959.3,959.3,767.44,191.86,,21016,943.9512,943.9512,752.0912,191.86
21025,1969.21,1969.21,1575.368,393.842,,21025,1937.70264,1937.70264,1543.86064,393.842
21026,1027.11,1027.11,821.688,205.422,,21026,1010.67624,1010.67624,805.25424,205.422
21029,1027.11,1027.11,821.688,205.422,,21029,1010.67624,1010.67624,805.25424,205.422
21030,331.72,331.72,265.376,66.344,,21030,326.41248,326.41248,260.06848,66.344
21031,269.75,269.75,215.8,53.95,,21031,265.434,265.434,211.484,53.95
21032,275.12,275.12,220.096,55.024,,21032,270.71808,270.71808,215.69408,55.024
21034,1969.21,1969.21,1575.368,393.842,,21034,1937.70264,1937.70264,1543.86064,393.842
21040,1027.11,1027.11,821.688,205.422,,21040,1010.67624,1010.67624,805.25424,205.422
21044,1969.21,1969.21,1575.368,393.842,,21044,1937.70264,1937.70264,1543.86064,393.842
21046,1969.21,1969.21,1575.368,393.842,,21046,1937.70264,1937.70264,1543.86064,393.842
21047,1969.21,1969.21,1575.368,393.842,,21047,1937.70264,1937.70264,1543.86064,393.842
21048,1969.21,1969.21,1575.368,393.842,,21048,1937.70264,1937.70264,1543.86064,393.842
21050,1969.21,1969.21,1575.368,393.842,,21050,1937.70264,1937.70264,1543.86064,393.842
21060,1969.21,1969.21,1575.368,393.842,,21060,1937.70264,1937.70264,1543.86064,393.842
21070,1969.21,1969.21,1575.368,393.842,,21070,1937.70264,1937.70264,1543.86064,393.842
21073,253.63,253.63,202.904,50.726,,21073,249.57192,249.57192,198.84592,50.726
21076,485.04,485.04,388.032,97.008,,21076,477.27936,477.27936,380.27136,97.008
21077,1215.47,1215.47,972.376,243.094,,21077,1196.02248,1196.02248,952.92848,243.094
21079,828.58,828.58,662.864,165.716,,21079,815.32272,815.32272,649.60672,165.716
21080,931.75,931.75,745.4,186.35,,21080,916.842,916.842,730.492,186.35
21081,873,873,698.4,174.6,,21081,859.032,859.032,684.432,174.6
21082,862.97,862.97,690.376,172.594,,21082,849.16248,849.16248,676.56848,172.594
21083,846.13,846.13,676.904,169.226,,21083,832.59192,832.59192,663.36592,169.226
21084,942.86,942.86,754.288,188.572,,21084,927.77424,927.77424,739.20224,188.572
21085,301.15,301.15,240.92,60.23,,21085,296.3316,296.3316,236.1016,60.23
21086,914.2,914.2,731.36,182.84,,21086,899.5728,899.5728,716.7328,182.84
21087,914.2,914.2,731.36,182.84,,21087,899.5728,899.5728,716.7328,182.84
21088,1969.21,1969.21,1575.368,393.842,,21088,1937.70264,1937.70264,1543.86064,393.842
21100,1969.21,1969.21,1575.368,393.842,,21100,1937.70264,1937.70264,1543.86064,393.842
21110,301.15,301.15,240.92,60.23,,21110,296.3316,296.3316,236.1016,60.23
21120,1969.21,1969.21,1575.368,393.842,,21120,1937.70264,1937.70264,1543.86064,393.842
21121,1027.11,1027.11,821.688,205.422,,21121,1010.67624,1010.67624,805.25424,205.422
21122,1027.11,1027.11,821.688,205.422,,21122,1010.67624,1010.67624,805.25424,205.422
21123,1027.11,1027.11,821.688,205.422,,21123,1010.67624,1010.67624,805.25424,205.422
21125,1027.11,1027.11,821.688,205.422,,21125,1010.67624,1010.67624,805.25424,205.422
21127,1969.21,1969.21,1575.368,393.842,,21127,1937.70264,1937.70264,1543.86064,393.842
21137,1027.11,1027.11,821.688,205.422,,21137,1010.67624,1010.67624,805.25424,205.422
21138,1969.21,1969.21,1575.368,393.842,,21138,1937.70264,1937.70264,1543.86064,393.842
21139,1969.21,1969.21,1575.368,393.842,,21139,1937.70264,1937.70264,1543.86064,393.842
21150,1969.21,1969.21,1575.368,393.842,,21150,1937.70264,1937.70264,1543.86064,393.842
21181,1969.21,1969.21,1575.368,393.842,,21181,1937.70264,1937.70264,1543.86064,393.842
